,age,cost_of_ad,device_type,gender,in_initial_launch_location,income,n_drivers,n_vehicles,prior_ins_tenure,pred_outcome
76,55,0.0038181559999999996,laptop,M,0,66847,1,3,16,0
77,36,0.004844048,desktop,F,1,38904,1,1,3,1
79,27,0.004792307,other,F,1,47315,2,1,4,0
80,51,0.004526457,desktop,F,0,59593,2,3,8,0
82,53,0.00417365,other,M,0,78005,1,3,15,0
83,34,0.004872958,iPhone,M,0,46327,1,3,3,0
84,47,0.006743285,iPhone,F,1,52839,1,1,7,1
85,18,0.003217067,other,M,1,35729,1,3,1,0
86,28,0.006518215,iPhone,F,1,35703,1,1,3,0
87,54,0.006285594,iPhone,F,0,82394,1,3,18,0
88,26,0.0033386109999999996,desktop,M,1,65685,2,2,4,0
89,36,0.004874543,desktop,F,1,38092,2,3,3,0
90,39,0.004315323,desktop,M,0,41636,1,1,1,1
91,37,0.003621022,Android,M,0,45997,2,1,4,1
92,58,0.005442535,other,F,1,81678,2,1,6,0
93,40,0.003736329,other,M,1,70148,1,1,8,1
94,36,0.0050080459999999995,desktop,F,1,55305,1,1,9,1
95,52,0.005479171999999999,desktop,F,0,60995,1,2,15,0
96,35,0.004906472,Android,F,0,68344,2,3,2,0
97,59,0.003939515,laptop,M,1,76167,1,1,14,1
98,55,0.004521038,other,M,1,86080,1,2,14,0
99,58,0.005823988,iPhone,M,1,92545,1,3,20,0
100,44,0.005623851,iPhone,M,0,72307,2,1,5,1
101,28,0.0040837059999999994,desktop,M,1,32258,1,1,2,1
102,39,0.004153711,Android,M,1,74496,1,3,7,1
103,25,0.004556223,Android,F,1,32449,1,1,1,1
104,22,0.003916225,laptop,M,1,36403,1,1,1,0
105,44,0.0059313740000000005,iPhone,M,0,56883,2,1,2,1
106,32,0.005272415,other,F,0,41507,1,3,2,0
107,31,0.00578492,iPhone,M,0,61755,2,1,0,1
108,30,0.0042096270000000005,Android,M,0,33948,2,2,4,1
110,32,0.005137184,other,F,0,42055,2,1,5,0
111,57,0.004272733,desktop,M,1,91012,1,2,18,1
112,28,0.00379799,desktop,M,0,38978,1,3,1,1
113,27,0.004982352,desktop,F,0,54223,1,1,4,1
114,40,0.003914491,Android,M,0,78416,2,2,0,0
115,45,0.004419821,desktop,M,1,81318,1,1,10,1
116,47,0.0058597630000000005,iPhone,M,0,64158,1,2,15,0
117,28,0.0055743319999999996,iPhone,M,0,38732,1,3,5,0
118,55,0.004503034,other,M,1,77767,1,2,2,0
119,45,0.00628884,iPhone,F,0,80103,1,2,11,0
120,44,0.005253819,desktop,F,0,56364,2,3,3,0
121,17,0.00360829,laptop,M,1,42091,2,1,0,0
122,16,0.00425898,other,F,0,50548,1,1,0,0
123,36,0.005309465,desktop,F,0,44399,1,2,2,0
124,42,0.00514371,desktop,F,1,76588,1,1,9,1
125,35,0.005369499,iPhone,M,1,40559,1,2,4,0
126,26,0.004440968,laptop,F,0,50797,2,3,0,0
127,29,0.006060305,iPhone,F,1,63003,1,3,0,0
128,44,0.004310994,other,M,1,45979,2,2,1,0
129,18,0.00354418,desktop,M,0,29819,1,1,1,1
130,46,0.005013812,laptop,F,0,55868,2,1,13,0
131,52,0.00414045,Android,M,0,53750,1,2,4,0
132,17,0.004210612,other,F,0,52158,2,1,0,0
133,50,0.006610571,iPhone,F,0,89016,1,2,14,0
134,44,0.004845895,laptop,F,0,56446,2,1,11,0
135,46,0.0053454769999999995,laptop,F,1,81440,2,3,10,0
136,60,0.003830073,Android,M,0,80321,1,3,9,0
137,50,0.005146986,iPhone,M,1,66602,1,3,3,0
138,29,0.0033864629999999997,laptop,M,0,36392,2,1,1,1
139,31,0.003343703,Android,M,1,42465,2,2,7,0
140,47,0.0064823630000000005,iPhone,F,1,56986,1,3,9,0
141,21,0.004284449,Android,F,0,24975,2,2,0,1
142,17,0.004304953,desktop,F,0,53913,1,3,0,0
143,32,0.006265858000000001,iPhone,F,1,69492,1,2,2,0
144,52,0.004747385,other,F,1,65174,1,3,1,0
145,54,0.0069074240000000005,iPhone,F,0,93827,1,1,6,0
146,18,0.004506673,desktop,F,1,23992,2,3,1,1
147,29,0.00539304,iPhone,M,0,68870,1,2,1,0
148,52,0.003724646,desktop,M,0,55282,1,3,6,0
149,35,0.004574597,desktop,F,0,53977,2,1,2,0
150,39,0.003683981,laptop,M,1,74990,1,2,11,0
151,60,0.004814065,other,F,1,60452,2,2,18,0
152,28,0.0047580190000000005,Android,F,1,50391,2,2,0,0
153,31,0.003464761,Android,M,1,47115,2,2,4,1
154,29,0.00446265,desktop,F,0,44757,2,1,6,0
155,57,0.006340676,iPhone,F,1,57593,1,1,14,1
156,29,0.004490183,Android,F,1,47478,2,3,4,0
157,45,0.005063457,other,F,0,47869,1,2,9,0
158,44,0.004127156,laptop,M,0,75504,2,2,1,0
159,23,0.005222376,desktop,F,1,37804,1,2,2,0
160,36,0.005308286,other,F,0,56076,2,3,8,0
161,24,0.004890831,laptop,F,1,46249,1,1,3,1
162,50,0.0037598740000000003,desktop,M,1,81258,2,3,12,1
163,47,0.004083356,desktop,M,1,77628,1,2,4,1
164,18,0.004264001,laptop,F,1,41006,2,3,1,0
165,34,0.004489739,laptop,F,0,62488,1,1,2,0
166,45,0.004612773,other,F,1,45517,2,1,8,1
167,55,0.004921157,Android,F,1,72871,1,2,10,0
168,20,0.003715378,Android,M,0,44114,2,3,2,1
169,52,0.0051586570000000005,other,F,0,75660,2,1,18,0
170,35,0.004344608,other,M,1,49063,2,1,2,0
171,48,0.004445074,Android,M,1,67646,2,2,13,1
172,53,0.005035128,other,F,0,89491,2,2,0,0
173,46,0.0050409009999999995,laptop,F,1,74115,1,3,3,0
174,23,0.005759456,iPhone,F,1,59482,2,2,2,0
175,31,0.004094762,laptop,M,0,57517,1,2,2,0
176,45,0.0052496669999999995,laptop,F,1,73542,1,3,11,0
177,40,0.004566438,other,F,1,41552,2,1,0,0
178,60,0.0036219190000000004,laptop,M,0,63263,1,3,5,0
179,21,0.005127134,desktop,F,1,39500,1,2,0,0
180,35,0.006153243,iPhone,F,0,43519,1,1,2,0
181,26,0.006651781,iPhone,F,1,52217,2,1,2,0
182,42,0.005348715,laptop,F,0,55221,1,2,12,0
183,17,0.003749374,laptop,M,1,30142,1,2,0,0
184,37,0.0043713829999999995,Android,F,1,62632,2,2,2,1
185,58,0.005402984,laptop,F,0,65678,2,2,0,0
186,21,0.00479063,Android,F,0,40596,1,3,2,0
187,57,0.005477089,Android,F,0,90884,1,2,9,0
188,48,0.006143742,iPhone,F,0,78620,1,2,5,0
189,48,0.004046282,Android,M,0,81710,1,3,13,0
190,18,0.005217857,iPhone,M,1,29376,2,2,0,0
191,21,0.00473037,laptop,F,1,29622,1,2,1,0
192,42,0.0043950529999999995,laptop,M,1,54704,1,2,2,0
193,40,0.004859941,laptop,F,0,77229,2,3,8,0
194,47,0.004559314,desktop,F,1,85898,1,2,4,1
195,47,0.003967414,laptop,M,1,56436,1,2,7,0
196,41,0.00404237,desktop,M,1,59810,1,3,2,1
197,55,0.005080261,Android,F,1,82262,1,3,12,0
198,52,0.004887923,Android,F,1,85843,1,2,3,0
199,36,0.005036791,iPhone,M,1,52834,1,2,6,0
200,23,0.005066946,other,F,1,58715,2,1,0,0
201,36,0.00416575,laptop,M,1,71565,2,1,3,0
202,26,0.004811190999999999,other,F,1,51271,2,1,1,0
203,60,0.004652197,other,F,1,86063,1,3,2,0
204,20,0.004650777,Android,F,1,42972,1,1,2,1
205,18,0.0034587240000000003,Android,M,0,26698,2,3,1,1
206,30,0.004316617,desktop,F,1,54294,1,3,4,1
207,41,0.006629586,iPhone,F,1,79963,1,2,11,0
208,36,0.003877019,Android,M,1,50775,1,3,1,1
209,60,0.004120911,Android,M,1,78756,2,3,16,1
210,16,0.005174117,iPhone,M,1,35745,1,3,0,0
211,34,0.003983663,other,M,0,67234,1,1,9,0
212,36,0.0037361990000000004,desktop,M,1,38097,2,3,4,1
213,33,0.0040274279999999996,other,M,0,63594,1,1,4,0
214,22,0.0039064009999999995,desktop,M,0,50531,1,1,0,1
215,25,0.004365890999999999,Android,F,0,43401,1,3,3,0
216,54,0.005284925,laptop,F,0,85360,1,3,0,0
217,18,0.005092739000000001,iPhone,M,1,39539,1,3,0,1
218,58,0.004064404000000001,Android,M,0,74430,2,1,11,1
219,19,0.004644495,Android,F,1,36837,1,3,1,0
220,58,0.004567235,desktop,M,1,94064,1,1,0,1
221,56,0.005038649,desktop,F,1,56899,2,3,18,0
223,29,0.004241176,Android,M,1,44086,1,2,6,1
224,22,0.003343423,desktop,M,0,23709,2,3,3,1
225,27,0.003760898,other,M,1,33724,1,3,4,0
226,18,0.004144379,desktop,M,0,33479,2,3,1,1
227,60,0.0051742129999999996,laptop,F,1,70391,2,2,10,0
228,22,0.005320101999999999,iPhone,M,0,49775,2,1,0,1
229,43,0.005483607,iPhone,M,1,72998,1,1,8,1
230,24,0.004088573,Android,M,1,29565,1,1,0,1
231,18,0.004040755,Android,M,1,34325,2,2,0,1
232,51,0.00491965,other,F,0,60273,1,2,6,0
233,27,0.00570383,iPhone,M,1,64325,1,2,2,0
234,38,0.004336394,laptop,M,1,52819,2,3,7,0
235,32,0.005801589,iPhone,M,1,43959,2,1,6,1
236,55,0.003886901,laptop,M,1,58873,2,3,4,0
237,58,0.0038108179999999997,other,M,1,66610,2,1,16,1
238,16,0.0066532530000000005,iPhone,F,0,54949,1,2,0,0
239,49,0.004985146,other,F,1,85435,2,1,4,0
240,51,0.005997125,iPhone,M,0,56192,1,3,6,0
241,53,0.006659956,iPhone,F,1,81494,1,3,1,0
242,38,0.003757356,desktop,M,0,76247,2,1,4,1
243,34,0.004624962,other,F,1,73522,2,3,1,0
244,22,0.0033885720000000003,desktop,M,1,54082,2,1,0,1
245,16,0.003999544,other,M,1,28679,2,1,0,1
246,30,0.0035897290000000003,other,M,0,44165,1,3,4,0
247,36,0.003700377,other,M,1,42132,2,2,10,0
248,53,0.00528674,iPhone,M,1,66680,2,3,6,0
249,20,0.003830582,other,M,1,23318,2,1,2,1
250,18,0.003543963,Android,M,1,38715,1,1,1,1
251,26,0.005057191,Android,F,1,58634,2,1,2,1
252,21,0.00562122,iPhone,M,0,35838,1,2,2,0
253,56,0.004984479,other,F,1,94196,2,3,11,0
254,42,0.0044996229999999995,Android,F,0,68657,1,2,4,0
255,41,0.006822986999999999,iPhone,F,0,48407,1,2,7,0
256,47,0.005032602,other,F,0,74480,2,1,0,0
257,19,0.0033044040000000004,desktop,M,1,30851,2,3,0,1
258,24,0.004342207,other,F,1,45146,2,2,1,0
259,40,0.004478022,Android,F,0,47593,1,1,11,0
260,24,0.003278728,laptop,M,1,62093,1,1,0,1
261,43,0.005936423000000001,iPhone,F,1,43284,1,3,3,0
262,33,0.005274144000000001,laptop,F,1,60316,2,1,8,1
263,38,0.005065078,desktop,F,1,74166,2,3,10,0
264,56,0.004623013,laptop,F,0,64290,1,2,19,0
265,17,0.004898228,laptop,F,0,31271,1,3,0,1
266,43,0.0038328109999999998,Android,M,0,67509,2,3,7,0
267,40,0.005228722,desktop,F,1,76311,1,2,5,0
268,25,0.005215051,desktop,F,0,52632,2,2,2,0
269,40,0.005245237,other,F,1,79604,1,1,10,0
270,55,0.004073371,laptop,M,1,78435,2,3,12,0
271,35,0.0033681690000000003,desktop,M,0,59858,2,2,8,0
272,27,0.004218926,Android,M,1,60436,1,2,4,1
273,37,0.004630299,laptop,F,0,46264,1,1,8,0
274,53,0.00361177,Android,M,0,63692,1,1,5,1
275,51,0.005894158,iPhone,M,1,69036,1,1,15,1
276,48,0.00603523,iPhone,F,1,56075,2,2,0,0
278,39,0.004930856,laptop,F,1,49687,2,1,10,1
279,19,0.003795373,other,M,1,38328,2,2,1,0
280,31,0.004493957,other,F,0,47836,1,2,7,0
281,57,0.005992546,iPhone,M,0,89783,2,1,19,1
282,59,0.004024604,laptop,M,1,85295,2,3,1,0
283,38,0.004412025,laptop,F,1,52636,2,1,5,0
284,34,0.005178736,other,F,1,50595,2,3,0,0
285,19,0.005159989,iPhone,M,0,47599,2,1,1,1
286,47,0.003541764,other,M,0,72243,1,3,15,0
287,24,0.0038897370000000003,Android,M,1,39120,1,2,2,1
288,42,0.004931675999999999,laptop,F,0,78438,2,1,11,0
289,46,0.006371118,iPhone,F,1,65079,2,2,8,0
290,31,0.005591257,iPhone,M,1,51234,2,1,7,1
291,43,0.004656524,other,F,0,75123,2,1,2,0
292,54,0.006086269,iPhone,F,1,87393,2,2,18,0
293,19,0.003819431,laptop,M,0,47089,2,2,1,0
295,37,0.003418827,other,M,1,73749,2,3,6,0
296,18,0.00481793,iPhone,M,0,48482,2,1,0,1
297,42,0.003889244,Android,M,1,64319,1,1,8,1
298,53,0.005854308000000001,iPhone,M,0,64888,1,2,1,0
299,21,0.003834713,other,M,0,48994,1,3,0,0
300,44,0.004726685,Android,F,1,74524,2,3,10,0
301,54,0.0040999420000000005,Android,M,0,60734,1,3,6,0
302,27,0.00501001,laptop,F,1,66829,2,1,0,0
303,60,0.004996546,other,F,1,94363,2,3,0,0
304,52,0.004717096,laptop,F,1,88474,1,2,4,0
305,24,0.004912227,other,F,1,47288,1,3,4,0
306,46,0.006305018000000001,iPhone,F,1,66370,1,3,0,0
307,26,0.004335086,other,F,1,51449,1,3,0,0
308,46,0.005306816,desktop,F,0,59207,1,1,14,0
309,38,0.005111722,Android,F,0,67033,2,2,2,0
310,20,0.003958491,laptop,M,0,40216,1,2,0,0
311,59,0.003937016,laptop,M,1,66161,2,3,8,0
312,40,0.00494843,laptop,F,1,68448,2,3,8,0
313,45,0.003615411,laptop,M,1,74494,2,1,6,0
314,31,0.0047866490000000005,desktop,F,0,63201,2,2,1,0
315,19,0.003299565,other,M,0,35933,1,1,1,0
316,23,0.00380173,other,M,1,59931,2,2,3,0
317,49,0.005046705,laptop,F,1,65234,2,3,13,0
319,38,0.006093463,iPhone,F,0,68738,1,1,10,0
320,37,0.004207242,Android,M,0,55265,1,3,0,0
321,41,0.00410498,laptop,M,0,62362,1,3,11,0
322,59,0.005389533,Android,F,1,69572,2,1,21,1
323,37,0.004117515,laptop,M,0,42428,1,1,8,0
324,55,0.004358319,laptop,M,0,64395,2,1,14,0
326,20,0.006248694,iPhone,F,1,54359,1,2,2,0
327,22,0.003837065,laptop,M,0,55545,2,3,3,0
328,47,0.0039041740000000003,other,M,0,60873,1,2,9,0
329,45,0.0035505479999999997,Android,M,1,75593,1,1,3,1
330,58,0.004215544,Android,M,1,70693,1,1,2,1
331,58,0.005655901999999999,iPhone,M,0,63052,2,3,15,0
332,30,0.0038137609999999997,other,M,1,37816,1,1,2,1
333,22,0.0034855159999999997,Android,M,1,55618,1,3,3,1
334,30,0.00661005,iPhone,F,1,38007,1,2,3,0
336,52,0.004800149,other,F,1,60624,1,3,2,0
337,47,0.003690632,desktop,M,0,61097,1,1,7,1
338,21,0.0050439809999999995,laptop,F,0,37630,2,3,2,0
339,37,0.004024852,laptop,M,0,49022,2,2,6,0
340,35,0.0060689640000000005,iPhone,F,0,61365,1,3,6,0
341,48,0.004582636,desktop,F,0,79716,1,1,13,0
342,56,0.0038105079999999998,laptop,M,0,92983,2,3,17,0
343,30,0.004001563,other,M,0,50405,1,3,5,0
344,50,0.005328411,laptop,F,0,86007,1,2,8,0
345,57,0.005473154,desktop,F,0,90993,2,2,18,0
346,60,0.005219146,laptop,F,0,69714,1,1,16,0
347,35,0.004457667,laptop,F,1,44734,1,3,7,0
348,37,0.006736581,iPhone,F,1,61497,1,2,2,0
349,59,0.0046494629999999995,desktop,F,1,77921,1,3,21,0
350,29,0.004886519000000001,Android,F,0,32091,1,2,6,0
351,45,0.005620425,iPhone,M,0,55100,1,1,10,1
352,37,0.003872419,laptop,M,1,53656,1,3,3,0
354,58,0.0043136170000000005,laptop,M,1,95630,2,1,6,1
355,49,0.0046106590000000005,other,F,1,66480,2,2,13,0
356,54,0.004429507,Android,M,0,90636,2,3,3,0
357,21,0.004938062,laptop,F,0,33126,1,1,0,0
358,21,0.004711175,iPhone,M,0,60807,2,2,1,0
359,24,0.003973856,desktop,M,0,36096,1,2,1,1
360,26,0.005940846999999999,iPhone,F,0,49499,2,1,2,1
361,17,0.0063211940000000005,iPhone,F,0,53229,1,3,0,0
362,31,0.0049268359999999995,Android,F,0,62309,2,3,6,0
363,28,0.003958198,Android,M,0,62278,1,1,4,1
364,41,0.005343567,desktop,F,0,66793,1,1,4,0
365,28,0.004698985,desktop,F,1,57941,2,1,0,1
366,26,0.0038400120000000003,Android,M,0,33328,1,3,0,1
367,42,0.004823864000000001,laptop,F,1,45540,1,1,10,1
368,60,0.005755687,iPhone,M,1,66172,2,1,1,1
369,60,0.005240173,desktop,F,1,87832,1,2,19,0
370,45,0.003750467,Android,M,1,65765,1,2,11,1
371,47,0.004924019,laptop,F,1,66618,1,2,4,0
372,25,0.005527078,iPhone,M,0,59217,1,1,4,1
373,47,0.003899593,laptop,M,1,47051,1,1,15,1
374,39,0.0035051220000000003,other,M,0,44488,2,3,2,0
375,24,0.00428758,laptop,F,0,58244,1,2,2,0
376,26,0.004557178,laptop,F,0,55792,2,3,2,0
377,33,0.004861712,Android,F,0,49145,1,3,4,0
378,27,0.004925156,desktop,F,0,62562,2,1,2,1
379,26,0.004925303,iPhone,M,1,49728,1,3,5,0
380,39,0.0035615670000000003,Android,M,0,53005,2,1,3,1
381,20,0.003694873,other,M,0,24635,2,3,0,0
384,48,0.005131722,other,F,1,62240,2,2,5,0
385,56,0.004713281,other,F,0,58205,2,1,7,0
386,22,0.004671918,other,F,0,50661,2,1,1,0
387,30,0.004995628,laptop,F,1,64086,2,3,2,0
388,35,0.004877907,iPhone,M,1,51266,1,2,6,0
389,53,0.006250053,iPhone,F,1,68343,1,3,4,0
390,46,0.00377648,other,M,1,59776,1,2,7,0
391,32,0.005249218000000001,other,F,1,63135,1,3,5,0
392,36,0.003738059,other,M,1,60766,1,3,8,0
393,19,0.004132127,desktop,M,1,44482,2,3,1,1
394,42,0.005472632,iPhone,M,0,77008,2,3,3,0
395,20,0.004032909,other,M,0,55119,1,3,1,0
396,60,0.003916161,other,M,1,74289,2,3,1,0
397,60,0.0065808030000000005,iPhone,F,0,84365,1,1,10,0
398,51,0.0036270359999999997,other,M,0,73631,2,2,4,0
399,33,0.004796351,other,F,1,46357,2,2,2,0
400,41,0.005047342,Android,F,0,58112,1,3,4,0
401,41,0.00468195,desktop,F,0,73660,2,3,11,0
402,45,0.003493693,laptop,M,1,70232,2,3,9,0
403,32,0.0038660390000000004,laptop,M,0,38980,1,3,1,0
404,23,0.004668205999999999,desktop,F,1,59802,2,3,0,0
405,53,0.005264953,Android,F,1,55438,2,1,13,1
406,49,0.004103446,laptop,M,0,59770,2,2,4,0
407,47,0.004186449,other,M,0,58891,1,1,5,1
408,28,0.003776513,Android,M,0,59408,2,3,1,1
409,45,0.005369398,Android,F,1,58772,2,1,14,1
410,21,0.006137577,iPhone,F,0,51990,2,3,2,0
411,59,0.004240796,Android,M,1,98019,1,3,8,1
412,38,0.004011113,Android,M,1,45057,2,2,0,1
413,38,0.0035160309999999998,Android,M,1,65184,2,2,5,1
414,27,0.003917113,Android,M,0,61043,1,2,0,1
415,32,0.0038182570000000002,other,M,0,36981,2,3,6,0
416,25,0.006007515,iPhone,F,1,62511,2,1,1,0
417,37,0.006012526,iPhone,F,1,54322,2,2,1,0
418,35,0.0035104159999999997,desktop,M,0,67424,2,3,5,0
419,19,0.005177780999999999,other,F,1,37024,1,1,1,0
420,38,0.005164205,iPhone,M,1,54331,2,1,2,1
421,59,0.005423606,iPhone,M,0,69129,1,3,19,0
422,37,0.005658113,iPhone,M,1,69781,2,2,6,0
423,49,0.004970031,Android,F,1,62009,1,2,8,0
424,31,0.00430755,laptop,M,1,64207,1,3,5,0
425,48,0.00496333,other,F,1,58596,2,3,12,0
426,50,0.003819703,laptop,M,1,62489,2,1,13,0
427,53,0.004023415,other,M,0,67719,1,1,7,0
428,58,0.00553783,Android,F,0,83688,1,2,5,0
429,55,0.0038410209999999996,other,M,1,65103,2,1,17,1
430,55,0.00387237,desktop,M,0,93155,2,3,5,0
432,28,0.005226443,other,F,0,67450,1,3,4,0
433,26,0.0036180509999999997,Android,M,0,43357,2,1,4,1
434,57,0.003709855,laptop,M,1,64021,1,2,3,0
435,52,0.006033514,iPhone,F,1,56739,2,1,1,1
436,54,0.0041202109999999995,laptop,M,0,54953,1,2,4,0
437,35,0.004378635,Android,F,1,59008,2,2,7,1
438,33,0.00511025,iPhone,M,1,40124,1,1,7,1
440,37,0.005134808,other,F,0,63570,2,2,4,0
441,23,0.0034407279999999997,other,M,0,61255,2,2,3,0
442,21,0.004777414000000001,laptop,F,0,33542,1,1,2,0
443,25,0.004295732,other,F,1,37476,2,1,0,0
444,33,0.004154947,other,M,1,41986,2,1,4,0
445,32,0.005243375,other,F,0,32917,1,3,0,0
446,23,0.004334849,laptop,F,0,51322,2,2,0,0
447,29,0.004995681,laptop,F,1,66980,2,2,6,0
448,33,0.004214752,other,M,1,48846,1,1,2,0
449,38,0.00509081,desktop,F,1,59546,1,2,2,0
450,57,0.006253689000000001,iPhone,F,1,96511,1,2,17,0
451,58,0.004097868,other,M,0,68373,2,1,4,0
452,58,0.006970921999999999,iPhone,F,0,70965,2,3,0,0
453,57,0.005142237,other,F,0,79835,2,3,14,0
455,48,0.00506709,laptop,F,1,84468,1,3,16,0
456,40,0.005065324,desktop,F,1,41624,2,1,5,1
457,48,0.005824736,iPhone,M,0,83896,2,2,1,0
458,39,0.0053357990000000004,other,F,1,77741,1,3,3,0
459,57,0.004837799,desktop,F,0,68263,1,3,12,0
460,29,0.004011489,desktop,M,0,41774,1,3,0,1
461,58,0.005484494,iPhone,M,1,82836,1,2,12,0
462,37,0.004571145,desktop,F,1,45684,2,2,4,0
463,56,0.004802047,desktop,F,0,83087,1,2,12,0
464,24,0.003447204,other,M,0,33852,1,2,1,0
465,46,0.005360651,Android,F,1,62754,2,3,11,0
466,53,0.0059052919999999995,iPhone,M,1,89108,1,1,18,1
467,40,0.006585139,iPhone,F,1,63686,2,3,0,0
468,38,0.005023487,Android,F,0,38398,2,2,3,0
469,58,0.006872855,iPhone,F,0,88954,2,3,18,0
470,26,0.004696744,desktop,F,0,35794,2,3,5,0
471,48,0.004809922,Android,F,0,69078,1,3,7,0
473,46,0.004580501,desktop,F,0,53221,2,1,15,0
474,30,0.00496417,iPhone,M,0,56974,1,2,6,0
475,36,0.0051467729999999995,iPhone,M,1,70613,1,3,6,0
476,38,0.006078935,iPhone,F,1,50801,2,2,1,0
477,16,0.0033336520000000003,other,M,1,18649,1,2,0,1
478,18,0.003802012,other,M,1,25552,1,1,1,1
479,19,0.003328999,other,M,0,54235,2,2,0,0
480,23,0.004017695,other,M,0,45014,1,2,3,0
481,39,0.006127924,iPhone,F,0,71382,1,3,6,0
482,56,0.003849543,laptop,M,0,92118,1,1,0,0
483,50,0.005240006,desktop,F,1,83813,1,1,0,1
484,40,0.004419289,Android,F,0,51549,2,1,4,0
485,25,0.0034253309999999998,laptop,M,1,46275,1,3,1,0
486,35,0.00448188,other,F,1,71238,1,1,6,0
487,21,0.004789977,other,F,1,26756,2,3,2,0
