Customer ID,Number of Orders Lifetime,Revenue Amount Lifetime,Art.com Flag
367023,2,$81.82,Y
373979,3,$441.30,N
374896,2,$39.67,N
375103,3,$123.21,N
379099,3,$43.85,N
379477,2,$35.92,Y
387243,3,$232.90,N
387780,4,$366.40,Y
391646,2,$84.91,Y
392274,4,$391.92,N
393636,2,$226.63,N
394243,2,$282.95,N
395126,2,$401.96,N
395567,8,$200.01,N
404162,5,$384.32,N
406897,2,$76.96,N
410437,4,$93.56,Y
416526,2,$59.17,N
422327,2,$102.34,N
424971,2,$111.94,N
425284,2,$35.90,N
426272,5,$245.91,Y
433502,3,$47.69,N
438913,2,$64.23,N
443216,3,$71.75,N
444183,2,$92.62,N
446047,7,$845.26,N
462556,2,$44.96,N
469099,2,$39.92,N
470071,14,"$1,543.61",Y
470746,2,$104.50,N
477792,3,$38.78,N
479874,4,$116.94,Y
483769,2,$100.96,N
486727,2,$111.86,N
488801,2,$55.86,N
497533,2,$95.79,N
505104,4,$70.73,N
505123,3,$102.34,N
505559,2,$97.85,N
506384,2,$248.21,N
507437,2,$130.96,N
514321,2,$137.77,N
516472,5,$102.79,N
517887,2,$42.16,N
526571,4,$77.90,N
532073,2,$56.96,N
533810,3,$73.63,N
534516,2,$415.82,Y
545769,2,$51.81,Y
545932,4,$140.27,N
549465,4,$622.68,Y
552011,2,$27.94,N
554303,2,$59.70,N
555630,5,$518.84,N
557163,2,$424.92,N
558172,2,$32.91,N
561334,2,$100.18,N
562671,4,$94.89,N
562787,4,$115.88,Y
566874,2,$60.05,Y
569406,3,$94.94,N
569974,2,$51.43,N
572067,2,$117.15,N
575867,3,$78.88,N
576816,2,$204.33,Y
580385,2,$252.94,N
587746,2,$169.38,N
591639,2,$82.96,N
597260,3,$73.04,N
601757,5,$381.90,N
604272,2,$386.46,N
610303,2,$12.98,N
614531,3,$623.55,N
614664,3,$125.86,Y
615346,3,$126.79,N
623693,2,$249.83,N
624545,4,$152.55,N
624649,2,$17.97,N
626873,2,$118.86,N
627071,2,$61.43,N
644638,3,$262.49,Y
650430,2,$76.56,Y
650692,2,$42.70,N
658906,11,$402.02,N
660243,3,$210.90,Y
660691,3,$199.11,N
663099,5,$357.52,N
666866,3,$664.40,Y
667202,3,$77.89,N
668144,3,$216.29,N
672930,2,$134.73,N
673970,2,$111.96,Y
674722,2,$55.82,Y
676704,7,$545.17,Y
678468,3,$354.99,N
681728,2,$229.96,N
684769,2,$93.15,N
685603,13,"$2,027.41",N
687150,2,$42.96,N
694818,2,$202.70,N
694926,2,$80.96,N
701717,2,$53.94,Y
705590,2,$38.87,N
720079,6,"$1,571.63",N
720766,2,$410.94,Y
720836,2,$35.95,N
723124,2,$26.65,N
728136,3,$167.90,N
728150,4,$206.89,Y
730069,2,$40.10,N
734114,2,$60.90,N
734728,2,$46.59,N
735986,2,$302.08,Y
736293,2,$128.71,Y
738509,2,$243.70,N
742502,5,$126.10,N
742609,3,$272.90,N
742929,4,"$1,409.86",N
743207,2,$269.82,N
743531,3,$516.91,N
744514,3,$143.67,Y
744988,3,$145.90,N
746004,3,$211.68,Y
747975,2,$49.95,Y
749496,2,$63.55,Y
750676,3,$79.66,N
751848,3,$208.25,N
756746,6,$945.86,Y
761031,3,$380.50,N
765488,2,$319.33,Y
766293,4,$318.43,N
767863,3,$192.17,N
777895,5,$577.12,Y
785213,9,$749.79,Y
786483,6,$795.20,Y
788690,3,$102.92,Y
796534,14,$323.76,N
797502,3,$927.54,Y
798533,4,$120.52,N
799375,2,$26.47,N
802004,2,$62.90,N
805884,4,$251.70,Y
808637,2,$64.24,N
819329,2,$508.92,N
835138,2,$95.06,N
836447,2,$55.96,N
848468,2,$295.96,Y
871328,2,$101.36,N
878974,2,$32.94,Y
880947,3,$33.94,N
882604,2,$414.90,N
883116,2,$98.49,N
884341,2,$147.95,N
889587,3,$75.05,Y
893720,2,$16.92,N
895772,4,"$1,062.61",Y
898936,4,$55.12,N
900377,3,"$1,461.42",N
901543,2,$44.90,Y
901906,2,$161.96,N
903126,2,$278.72,N
905774,8,$539.38,N
907769,2,$188.72,N
910603,2,$70.27,N
911967,2,$39.95,N
915340,3,$385.93,Y
916042,2,$180.40,N
923351,2,$169.23,N
928379,3,$63.23,N
928537,2,$43.39,N
929024,4,$91.41,N
930809,2,$74.88,N
933069,2,$25.93,Y
933802,3,$68.02,Y
934480,7,$367.89,N
938085,4,$72.27,N
940491,2,$35.12,N
941919,3,$265.18,Y
941946,2,$69.07,N
943684,2,$41.96,Y
949433,3,$236.33,Y
950460,3,$68.31,N
951387,2,$78.88,Y
955062,3,$958.36,N
956080,4,$125.98,N
958112,2,$28.21,N
959963,2,$162.96,Y
961762,3,$887.44,Y
965356,4,$167.98,N
966699,2,$143.96,N
967600,2,$527.94,N
968104,3,$100.42,N
969733,3,$87.89,Y
971660,4,$55.92,N
974457,5,$347.34,N
975151,2,$123.93,N
976788,3,$115.41,Y
978074,2,$75.38,N
980653,4,$780.33,Y
981552,3,$84.86,N
988823,2,$69.01,N
990824,2,$24.96,N
993832,4,$276.66,N
996079,2,$185.90,N
1001082,2,$40.93,N
1006328,12,"$1,683.44",N
1009258,2,$65.71,N
1017002,8,$272.09,N
1018104,3,$380.92,N
1018721,2,$48.75,Y
1018821,2,$31.98,N
1023127,2,$81.49,N
1024497,5,$145.83,N
1025803,3,$107.60,N
1028417,2,$522.62,Y
1032942,2,$141.87,N
1037488,2,$474.17,N
1039675,4,$623.05,N
1050475,3,$99.64,N
1056249,2,$69.26,N
1062055,2,$194.96,N
1065628,8,$992.26,Y
1066619,2,$214.10,N
1072039,2,$28.95,N
1078478,2,$82.94,N
1082294,2,$385.97,N
1087081,2,$24.95,N
1090829,9,$215.78,Y
1091832,2,$67.22,N
1092298,2,$151.95,Y
1093178,9,"$1,932.02",Y
1093328,2,$54.87,N
1093458,2,$181.92,Y
1094129,2,$126.56,N
1095308,3,$48.66,N
1096924,2,$131.97,N
1096942,2,$184.60,N
1100737,2,$58.75,N
1100840,2,$38.93,N
1101658,2,$62.92,N
1103773,3,$143.91,N
1109451,4,$51.52,N
1110766,4,$156.94,N
1112305,2,$171.94,Y
1113666,2,$106.87,Y
1114705,7,$879.03,Y
1127283,6,$233.05,N
1127477,2,$167.96,Y
1135950,2,$126.17,N
1139441,5,$429.79,Y
1139469,5,$172.03,Y
1141375,2,$80.32,Y
1143161,6,$178.06,Y
1150618,2,$303.96,Y
1150877,4,$112.78,N
1157441,11,$610.42,N
1158705,3,$114.44,N
1162225,5,$496.11,N
1162652,8,$803.28,Y
1164134,2,$81.91,Y
1165947,2,$132.42,N
1168652,2,$163.95,N
1171770,7,$158.52,Y
1177038,5,$116.88,N
1180203,3,$76.98,Y
1182137,2,$103.24,N
1187280,2,$41.36,N
1188991,6,$547.81,N
1189724,2,$105.93,N
1190291,8,"$1,443.61",Y
1193169,5,$161.11,N
1198040,2,$648.95,N
1199733,2,$67.56,N
1200380,10,$847.07,Y
1204835,3,$829.12,N
1205722,5,$139.95,N
1205794,2,$672.86,N
1208755,3,$167.82,N
1212956,2,$58.96,N
1217209,2,$139.45,N
1225859,2,$34.96,N
1225958,2,$36.19,N
1226741,2,$109.56,N
1239254,2,$40.96,N
1242396,5,$202.22,N
1245170,2,$47.44,N
1245584,3,$149.44,N
1249623,11,"$1,086.75",N
1251851,3,$54.90,N
1254236,2,$99.93,N
1255173,2,$197.82,N
1256453,3,$75.90,N
1256481,3,$165.88,N
1259774,2,$49.62,N
1261664,3,$206.86,N
1271005,3,$312.18,N
1271167,3,$285.86,N
1271955,2,$50.44,N
1272565,2,$78.77,N
1272894,2,$86.93,N
1281017,2,$201.87,N
1282124,2,$106.69,N
1282215,2,$39.80,N
1291120,3,$105.93,N
1292170,2,$93.87,N
1300087,3,$174.93,N
1302862,2,$156.92,N
1306942,3,$174.38,N
1308769,3,$214.64,N
1311154,4,$467.93,Y
1312388,2,$111.90,N
1313122,2,$89.13,N
1317196,17,$183.60,N
1320017,4,$333.84,N
1330190,2,$510.90,N
1330470,6,$152.87,Y
1334699,3,$340.93,N
1335279,6,$377.33,N
1338647,2,$27.86,N
1344575,2,$144.96,Y
1345048,12,$886.84,Y
1345717,8,$161.86,N
1351132,2,$47.96,N
1352761,2,$165.90,Y
1357759,2,$63.96,N
1358408,2,$121.38,N
1365860,5,$89.42,N
1375599,3,$868.61,N
1382380,2,$74.40,N
1387682,2,$250.96,Y
1394124,2,$48.05,N
1395098,3,$62.33,N
1397122,4,$61.70,N
1401466,2,$67.96,N
1404196,2,$39.95,N
1404391,2,$34.45,N
1407359,2,$38.82,N
1409132,3,$95.18,Y
1410183,3,$389.43,N
1415334,2,$36.82,N
1416051,2,$396.04,N
1416145,3,$490.61,N
1416430,3,$471.94,Y
1421386,3,$199.45,N
1423721,2,$281.46,N
1425341,2,$78.85,Y
1425736,2,$160.64,N
1426223,2,$105.45,N
1435184,8,$991.36,N
1451311,3,$233.30,N
1453465,2,$237.21,Y
1459368,2,$420.88,N
1459966,3,$122.75,N
1460318,3,$108.81,N
1461436,2,$60.93,N
1462602,69,"$1,232.85",Y
1463510,2,$251.82,N
1464369,2,$55.88,Y
1466099,4,$322.84,N
1467999,2,$70.70,N
1468820,2,$30.96,N
1474872,2,$629.64,N
1476314,2,$74.57,N
1476544,2,$113.92,N
1476592,2,$32.43,N
1480030,3,$970.88,N
1488489,2,$797.89,Y
1494024,2,$142.69,N
1494472,5,$144.34,Y
1496376,4,$367.33,N
1501525,2,$88.38,N
1503566,4,$238.80,N
1504808,2,$115.46,Y
1506197,3,$146.32,N
1506859,3,$143.11,N
1506901,3,"$7,195.73",N
1508605,2,$107.62,N
1508809,3,$41.12,N
1509374,3,$273.97,N
1511159,5,$139.70,Y
1511588,2,$164.92,N
1511633,4,$48.23,N
1512814,3,"$1,468.08",Y
1517128,4,$250.81,Y
1517895,2,$66.45,Y
1518116,3,$126.70,N
1521780,2,$36.70,N
1522709,2,$224.16,N
1526161,3,$706.44,Y
1533339,2,$57.95,N
1535146,4,$401.07,Y
1539473,2,$370.95,N
1540902,2,$74.22,N
1543730,2,$27.13,Y
1543915,2,$232.92,Y
1547967,3,$385.93,Y
1550534,2,$182.95,N
1551496,2,$45.92,Y
1552985,2,$82.82,N
1553120,7,$886.86,Y
1553220,7,"$1,192.24",Y
1555199,4,$177.10,N
1555404,2,$102.94,N
1557884,2,$221.96,N
1568756,2,$159.76,N
1575100,2,$36.21,N
1575397,2,$259.96,N
1577048,2,$120.26,N
1577052,2,$76.10,N
1577872,2,$291.91,N
1586737,4,$330.55,N
1588632,2,$54.96,N
1591777,2,$117.94,N
1593268,2,$45.71,N
1596326,2,$41.93,N
1596625,3,$411.47,N
1597603,3,$104.01,N
1598547,3,$137.46,N
1600060,3,$275.71,Y
1604906,2,$56.45,N
1608019,2,$344.64,Y
1609343,4,$133.03,N
1615683,3,$115.54,Y
1622817,2,$140.95,N
1633932,2,$43.93,Y
1635593,4,$317.08,N
1640112,3,$75.79,Y
1640582,2,$103.47,N
1645644,2,$66.18,N
1649987,3,$211.68,Y
1652439,2,$42.96,N
1654171,5,"$1,417.20",N
1657113,2,$106.44,N
1664901,6,$568.91,Y
1666588,2,$49.46,N
1676365,3,$99.94,Y
1682270,2,$49.67,N
1690193,2,$159.92,N
1690927,2,$270.45,N
1695627,2,$42.84,N
1695784,2,$110.74,N
1701625,2,$214.47,N
1704376,4,$94.18,N
1704883,2,$387.72,N
1705568,5,$442.39,N
1713009,5,$539.76,Y
1717289,2,$54.00,N
1724717,2,$17.85,N
1726293,3,$71.85,Y
1726746,2,$95.90,N
1727563,2,$430.68,Y
1733749,2,$55.96,N
1734591,2,$50.46,N
1735648,4,$170.02,N
1736515,7,$428.07,N
1740107,2,$78.69,Y
1748267,3,$257.87,N
1750648,4,$265.69,N
1754111,7,$647.67,Y
1754981,8,$722.55,N
1755462,2,$432.28,Y
1756278,4,$211.02,N
1756889,2,$59.94,N
1760026,4,$259.21,N
1763330,4,"$1,072.86",Y
1764415,2,$141.92,N
1767771,3,$99.28,Y
1772206,2,$58.92,N
1772289,2,$61.81,N
1774274,4,$311.61,N
1776543,2,$83.83,N
1782458,2,$308.46,Y
1784769,3,$40.50,N
1790283,2,$44.58,N
1790757,3,$342.44,Y
1797412,2,$246.13,N
1797600,3,$386.59,N
1798096,3,$131.88,N
1800345,3,$209.82,N
1810734,3,$308.43,N
1811038,2,$264.93,Y
1812986,5,$214.04,Y
1833513,4,$467.16,N
1836330,2,$32.96,N
1838134,6,$238.16,N
1841873,5,$264.90,N
1842415,3,$61.89,N
1849010,3,$246.63,N
1851478,2,$399.46,Y
1851885,4,$200.43,N
1853937,3,$412.61,N
1856060,2,$100.94,N
1856217,3,$78.12,N
1859348,3,$36.46,N
1861773,2,$531.92,N
1862552,2,$69.31,N
1870525,2,$140.60,N
1878273,3,$182.85,Y
1879949,2,$182.74,N
1880129,8,$363.52,N
1883954,2,$70.87,N
1893812,3,$40.94,N
1897830,2,$94.96,N
1899040,4,$226.57,N
1899926,3,"$1,170.85",N
1901106,5,$365.86,N
1903894,7,"$1,397.97",Y
1906739,5,$314.78,Y
1910335,3,$394.15,Y
1910628,3,$76.39,N
1911633,8,"$3,034.18",N
1918491,3,$430.65,Y
1919570,2,$53.96,N
1920695,3,$101.91,N
1923971,2,$41.89,N
1925689,6,$213.78,Y
1931391,21,"$1,198.10",N
1938767,2,$43.43,N
1952130,2,$103.18,N
1953453,3,$549.20,N
1953732,2,$130.95,Y
1962502,6,$443.90,Y
1965603,4,$190.13,N
1967254,2,$114.75,N
1967427,3,$267.26,N
1968759,2,$35.94,N
1973447,6,"$1,240.48",N
1974920,2,$74.96,N
1976518,2,$54.74,N
1980339,2,$47.92,Y
1982400,2,$199.07,N
1997322,2,$370.86,N
1997402,3,$77.54,N
1998698,2,$90.85,N
2000145,6,$696.01,Y
2000705,2,$63.66,N
2004392,2,$49.91,N
2005465,2,$36.48,N
2007229,3,"$1,408.87",N
2014911,2,$54.96,N
2017475,2,$66.67,N
2017853,2,$422.94,N
2025760,2,$55.08,Y
2031806,2,$522.79,N
2034448,2,$105.94,N
2041121,2,$174.20,N
2041882,4,$213.86,N
2041911,2,$129.64,N
2042667,2,$123.21,N
2044195,3,$66.84,Y
2044739,8,$107.85,N
2046569,2,$85.49,N
2048633,5,$76.58,Y
2053429,2,$52.05,N
2058915,2,$82.93,N
2058950,2,$133.21,N
2061017,2,$95.70,N
2061356,2,$56.93,N
2064504,2,$72.63,N
2066276,3,$178.37,N
2068018,2,$367.40,N
2069712,5,"$1,899.74",Y
2071995,3,$250.37,N
2073112,2,$72.45,N
2080561,6,"$1,422.70",N
2081967,2,$142.64,N
2083289,4,$221.32,N
2100402,2,$69.83,N
2105868,2,$92.90,Y
2108609,2,$305.23,N
2112194,2,$14.97,Y
2124395,5,$177.78,N
2125239,4,$296.22,N
2126404,3,$130.40,Y
2126410,3,$180.13,N
2128067,2,$144.96,Y
2128412,2,$80.95,N
2129800,3,$154.19,N
2133231,2,$102.49,N
2142651,3,$36.15,N
2151325,3,$63.91,N
2153921,2,$31.52,Y
2168560,5,$457.12,Y
2174129,5,$684.66,Y
2183692,2,$176.75,N
2186018,3,$224.06,Y
2200076,7,$362.80,Y
2204657,6,$776.76,N
2205085,2,$91.90,N
2208975,3,$45.84,N
2210902,2,$118.43,N
2211252,2,$52.96,Y
2212164,2,$66.96,N
2221586,2,$73.92,N
2224300,3,$117.55,N
2232982,2,$810.87,N
2233584,3,$288.94,Y
2234716,3,$139.05,N
2235017,2,$120.24,N
2238054,2,$26.69,N
2242605,2,$115.91,N
2247504,2,$33.46,N
2255500,9,$196.32,N
2257271,2,$290.94,N
2258204,6,$359.62,Y
2260560,3,$36.44,N
2260596,3,$67.62,Y
2264177,4,"$1,409.88",Y
2266996,2,$161.87,N
2271419,5,$303.18,Y
2271472,3,$149.08,N
2272657,6,$643.98,Y
2272660,4,$332.94,N
2273333,2,$287.32,N
2274190,2,$219.90,Y
2284729,2,$217.96,N
2286033,2,$428.22,N
2287276,2,$73.94,N
2290491,2,$174.96,Y
2298599,2,$68.09,N
2309557,2,$130.19,N
2309678,2,$89.61,N
2309700,6,"$1,000.85",Y
2310382,3,$141.95,N
2314145,2,$251.76,Y
2316136,4,$80.91,Y
2316564,2,$312.09,N
2320102,3,$304.16,N
2323479,2,"$1,078.90",N
2327258,3,$74.93,N
2328965,2,$37.52,N
2330141,6,$465.89,Y
2332098,3,$74.90,N
2332257,7,$416.17,N
2335346,3,$364.38,N
2337442,3,$211.40,N
2337642,5,"$1,394.82",N
2341672,3,$202.61,N
2348818,2,$103.42,N
2350242,5,$307.56,N
2352666,2,$222.94,N
2359755,2,$381.88,N
2360417,2,$133.32,N
2360706,6,$344.05,Y
2365267,3,$314.24,Y
2366902,3,$460.64,N
2367230,6,$275.70,Y
2368241,2,$331.96,N
2372763,6,$914.70,Y
2374360,14,$960.99,Y
2384250,2,$160.94,Y
2385458,2,$561.77,Y
2386838,4,$131.92,Y
2388061,3,$208.68,Y
2388927,2,$76.56,Y
2389301,3,$300.94,N
2391901,2,$36.49,N
2402193,2,$78.32,N
2404871,4,$134.15,N
2409575,2,$45.21,Y
2410192,5,$149.30,N
2412494,5,$230.15,N
2412876,2,$279.88,N
2414223,3,$142.79,N
2414806,3,$244.29,Y
2438862,2,$221.27,Y
2443915,5,$339.93,Y
2449949,3,$229.34,N
2450653,3,$119.66,N
2457656,6,$467.88,Y
2466378,4,"$1,043.48",N
2469493,2,$80.29,N
2474491,2,$147.39,Y
2474907,2,$46.96,Y
2476681,3,$283.96,Y
2477145,2,$319.92,Y
2482843,3,$260.37,N
2484194,2,$95.93,N
2485024,7,$754.57,Y
2486407,4,$211.93,N
2490443,3,$271.70,N
2492973,2,$85.96,Y
2495095,2,$61.94,N
2498037,2,$44.94,N
2498039,3,$85.26,N
2499040,2,$197.54,Y
2500569,4,$225.24,N
2500976,2,$372.96,N
2504213,2,$59.62,N
2514655,2,$208.97,Y
2514963,2,$87.76,N
2522524,4,$168.78,N
2523609,2,$112.15,Y
2524095,2,$34.21,N
2526151,2,$131.92,Y
2526394,4,$440.93,N
2528901,2,$32.96,N
2539485,2,$37.96,N
2545873,3,"$1,493.30",Y
2546512,2,$63.57,Y
2553248,2,$80.96,N
2553792,2,$71.94,N
2556335,2,$95.49,N
2557493,5,$245.86,N
2559726,3,$179.49,N
2561956,3,$418.48,Y
2569752,2,$72.83,N
2571803,2,$40.92,N
2582231,5,$381.21,Y
2582511,2,$11.28,N
2591873,2,$31.95,N
2593371,2,$329.91,N
2600332,2,$69.14,N
2602261,3,$95.51,Y
2603252,2,$175.21,N
2603877,3,$166.74,N
2607994,2,$37.96,N
2609621,2,$141.66,N
2611932,2,$22.17,N
2611941,3,$78.05,Y
2617791,5,$498.42,Y
2617866,2,$38.46,N
2620994,4,$143.80,Y
2621466,3,$173.78,N
2622513,6,$146.04,N
2624187,2,$35.16,N
2624969,4,$617.40,Y
2627388,3,$250.95,N
2627492,2,$44.26,N
2630228,3,$255.48,N
2633479,2,$27.96,N
2641098,5,$297.41,Y
2642233,2,$51.96,N
2644593,3,$61.94,Y
2646709,2,$144.58,N
2648810,3,$127.04,Y
2657013,3,$345.18,N
2662162,2,$60.36,N
2665663,3,$398.13,Y
2669270,2,$220.90,N
2676063,2,$146.88,N
2676150,5,$162.91,N
2678759,4,$114.45,N
2683512,3,$189.39,N
2692766,2,$62.44,N
2699497,5,"$1,767.39",N
2700585,2,$55.79,N
2702290,4,$71.18,Y
2703455,2,$52.74,N
2704083,3,$111.96,N
2706173,2,$44.94,N
2706482,2,$210.97,Y
2707205,2,$27.82,N
2707811,2,$380.63,N
2707966,2,$161.80,N
2711155,2,$35.96,N
2715730,2,$119.52,N
2718109,3,$214.68,N
2723665,2,$58.95,N
2730840,2,$49.74,N
2731319,4,"$3,392.18",N
2734976,2,$262.26,Y
2735690,33,"$3,907.82",Y
2742927,2,$124.56,N
2744613,3,$262.84,Y
2746707,2,$97.12,N
2748526,2,$79.66,N
2748903,2,$168.13,Y
2752702,11,"$3,097.92",Y
2756746,2,$95.68,N
2770850,2,$460.52,N
2771381,5,$365.51,Y
2772762,2,$141.90,N
2782998,2,$91.80,N
2785553,3,$203.28,Y
2785754,5,$79.93,Y
2789948,4,$122.00,N
2795490,2,$60.54,N
2796752,3,$511.56,N
2802330,6,$110.01,N
2810550,2,$235.94,Y
2813176,17,"$6,478.94",Y
2814977,5,$84.59,N
2815653,4,$103.11,N
2816121,3,$45.74,N
2819023,4,$156.90,N
2823512,3,$414.44,Y
2826874,4,$701.63,Y
2830352,2,$38.44,N
2833834,4,$842.18,N
2834436,2,$51.14,N
2843213,3,$369.93,N
2848298,5,$426.65,Y
2853252,3,$334.89,Y
2856810,8,"$1,975.61",Y
2858314,6,"$1,215.64",Y
2859893,2,$52.94,N
2860548,2,$158.63,N
2867549,2,$340.97,Y
2868855,3,$238.89,N
2869241,2,$232.59,N
2874982,3,"$1,078.09",Y
2879299,2,$35.92,Y
2881632,2,$213.96,Y
2883127,2,$60.14,N
2884515,2,$355.95,Y
2886218,4,$470.09,Y
2890871,3,$33.94,N
2900852,2,$650.52,N
2902999,7,$657.69,Y
2903541,2,$220.92,Y
2904776,3,$81.39,N
2910981,2,$353.78,N
2911898,2,$72.15,Y
2913538,3,$75.05,Y
2916175,4,$132.75,N
2917630,2,$62.92,N
2917754,4,$210.15,N
2918286,6,$174.55,N
2920786,5,$154.61,N
2922970,2,$27.96,N
2926193,3,$290.75,Y
2933420,2,$297.24,N
2943049,2,$121.33,N
2943710,7,$342.25,Y
2944037,4,"$2,825.10",N
2949197,3,$149.30,N
2949574,4,$404.64,Y
2950757,2,$244.13,N
2951102,7,"$5,021.25",Y
2952059,2,$30.53,N
2958555,3,$67.94,N
2960867,4,$137.37,N
2963403,5,$709.48,Y
2964229,2,$221.33,N
2964977,2,$487.36,N
2965000,5,$978.14,N
2965784,2,$48.65,N
2967118,3,$795.74,N
2967695,3,$45.82,Y
2968156,2,$124.69,N
2972230,2,$369.21,N
2973394,3,$196.94,N
2975062,2,$204.56,Y
2985563,4,$133.11,Y
2989145,2,$114.63,N
2989536,2,$36.54,N
2993672,2,$375.97,N
2994890,3,$64.30,N
3000067,2,$135.16,Y
3008246,2,$416.68,N
3009035,2,$222.94,N
3009859,3,$201.53,N
3013502,3,$108.33,Y
3015339,2,$68.95,N
3021046,2,$642.90,Y
3021240,3,$56.47,N
3021604,2,$150.88,N
3022463,4,$293.04,N
3024719,2,$209.09,N
3026220,2,$265.52,N
3030048,7,$249.80,N
3031558,2,$168.94,Y
3035731,2,$59.92,N
3036288,7,$336.74,Y
3045491,7,$471.85,N
3049451,2,$40.96,N
3050029,2,$48.96,Y
3055437,3,$506.40,N
3056100,2,$48.97,N
3058019,3,$161.71,N
3058720,3,$552.43,Y
3060274,2,$90.46,Y
3064358,2,$59.98,N
3066711,2,$59.46,N
3071163,4,$304.37,Y
3076661,2,$27.96,N
3076854,2,$87.10,N
3080160,3,$430.42,N
3084615,3,$185.38,N
3088421,2,$289.02,N
3091504,5,$315.23,N
3092945,3,$125.14,Y
3093976,3,$172.91,N
3094243,6,"$1,174.27",N
3095144,3,$182.86,N
3097341,2,$37.22,N
3098703,4,$118.49,Y
3102700,3,$68.92,N
3103262,2,$19.75,N
3103704,3,$296.42,Y
3105179,4,$201.31,Y
3109350,2,$58.92,N
3111960,2,$76.82,Y
3114293,2,$64.95,N
3117391,4,$181.33,Y
3124167,2,$23.96,N
3130674,3,$177.91,N
3134518,7,"$3,017.63",Y
3135304,2,$39.97,N
3140521,4,$304.91,N
3144907,2,$56.91,N
3150474,3,$160.98,Y
3152472,2,$108.96,Y
3153696,5,$585.85,Y
3156773,2,$97.18,N
3160646,2,$95.87,N
3162301,5,$360.29,Y
3164445,3,$95.16,N
3168552,2,$97.13,N
3175108,3,$384.69,N
3175561,2,$285.77,Y
3177254,2,$50.94,N
3177858,2,$439.51,N
3179064,3,$176.23,N
3184687,2,$148.90,N
3186055,2,$115.26,N
3186866,3,$264.82,Y
3190280,2,$202.42,N
3197865,6,"$1,077.54",Y
3198448,4,$196.90,N
3200142,3,$67.40,N
3201256,2,$110.54,Y
3204666,6,$936.44,Y
3207800,3,$258.10,N
